               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077048,             0.12915,            0.053874,             0.52198,             0.45514,             0.22519,            0.097238,            0.061358,            0.051723,            0.047248,            0.070577,           0.0032692,           0.0032692
                   1,            0.058635,            0.091139,            0.047446,             0.55496,             0.24494,             0.21968,             0.11745,            0.055782,            0.040062,            0.043424,            0.040512,           0.0065372,           0.0065372
                   2,            0.047396,            0.082973,            0.040508,             0.55195,             0.59738,             0.55504,             0.36192,            0.037448,             0.03451,            0.026935,             0.01038,           0.0097392,           0.0097392
                   3,            0.037577,             0.07545,            0.022621,             0.64831,             0.90492,             0.90567,             0.59648,             0.03145,             0.03079,            0.013247,            0.009703,            0.009703,            0.009703
                   4,            0.031659,            0.067747,            0.013109,             0.95034,             0.94725,             0.98271,             0.79293,             0.02199,            0.027542,             0.01003,            0.009703,            0.009703,            0.009703
                   5,            0.028647,            0.064772,           0.0087242,             0.98168,             0.97445,             0.98887,             0.83217,             0.02092,            0.026846,           0.0069942,            0.009604,            0.009604,            0.009604
                   6,            0.025482,             0.06152,           0.0065523,             0.98809,             0.97063,             0.99093,             0.80652,            0.022182,            0.027065,           0.0065742,            0.009505,            0.009505,            0.009505
                   7,            0.024552,            0.059944,           0.0054622,             0.99033,             0.96457,              0.9905,              0.8757,            0.017758,            0.025202,           0.0064978,            0.009406,            0.009406,            0.009406
                   8,            0.023107,            0.058268,           0.0049227,              0.9814,             0.96749,             0.98971,             0.88421,            0.012531,             0.02177,           0.0064661,            0.009307,            0.009307,            0.009307
                   9,            0.022106,            0.056329,           0.0044628,             0.98606,             0.96683,             0.99168,             0.89093,            0.014432,            0.022453,           0.0057057,            0.009208,            0.009208,            0.009208
                  10,            0.020885,              0.0552,           0.0041707,             0.98011,             0.96376,             0.99165,             0.88139,            0.013503,            0.021725,           0.0060265,            0.009109,            0.009109,            0.009109
                  11,             0.02017,            0.054549,           0.0040274,             0.98357,             0.96329,             0.99039,             0.88538,            0.012213,            0.021042,           0.0063536,             0.00901,             0.00901,             0.00901
